DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,CANCHO DEL FRESNO,,Explotación,ESTADO,J. BARRAU,A,31-12-1987,--,0294462,4363142,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"30,000","20,770","1041,000","275,000",,Gravedad,"57,000","217,000","629,500","572,500","579,500","140,000",001,"32,000 -",001,"100,000 -","No, Labio fijo -",,RUECAS,CAÑAMERO,GUADIANA
,CANDELARIA,,Explotación,CABILDO DE GRAN CANARIA,ADOLFO CAÑAS BARRERA,,01-01-1969,--,-752548,3164365,Riego                                             -  -,-  -,,"2,580","0,000","0,000","0,000",,Gravedad,"32,000","82,000","920,000","888,000","893,750","26,300",000,-,001,"5,500 -","No, Labio fijo -",,BARRANCO DEL MERINO,ARTENARA,LAS PALMAS
,CANDONCILLO,,Explotación,JUNTA DE  ANDALUCIA,J-BRAVO,,31-12-1977,--,0169144,4145213,Riego                                             -  -,-  -,,"8,950","2,000","585,000","100,000",,Materiales sueltos homogenea,"14,800","292,650","47,300","32,500","33,300","84,000",000,-,001,"160,000 -","No, Labio fijo -",,CANDONCILLO,NIEBLA,GUADIANA
,CANELLES,,Explotación,ENHER,"TORROJA, MILLET, DEL CORRAL Y C. CANET",A,01-08-1960,--,0799747,4653834,Hidroeléctrico                                    -  -,-  -,,"1628,020","946,000","486,000","2000,000",,Bóveda,"151,000","210,000","508,000","357,000","370,000","332,994",002,"200,000 - 800,000",001,"2000,000 -",Compuertas. -,,NOGUERA RIBAGORZANA,"ESTOPIÑAN DEL CASTILLO, OS DE BALAGUER",EBRO
,CANFRANC,,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,C-SANCHEZ REBULLIDA,A,31-12-1968,--,0703050,4734950,Hidroeléctrico                                    -  - Regulación,-  -,,"65,500","20,000","1500,000","270,000",,Contrafuertes,"28,500","113,800","1175,500","1147,000","1148,500","32,100",001,"45,000 -",001,"270,000 -","No, Labio fijo -",,ARAGON,CANFRANC,EBRO
,CANTALOBOS,,Explotación,HERMANOS RUBIO PEREZ,J-SAURA,,31-12-1991,--,0229555,4166035,Riego                                             -  -,-  -,,"9,000","1,000","0,000","43,000",,Materiales sueltos homogenea,"18,000","170,000","140,000","122,000","124,500","35,830",000,-,001,"34,000 -","No, Labio fijo -",,CANTALOBOS,GUILLENA,GUADALQUIVIR
,CANTILLANA,,Explotación,"ENDESA GENERACIÓN, S.A.- U.P.H. SUR",C-MENDOZA Y SAEZ DE A.,C,31-12-1956,--,0252655,4164393,Hidroeléctrico                                    -  - Riego,-  -,,"45000,000","0,000","0,000","8000,000",,Gravedad,"23,000","200,000","23,100","0,100","4,000","27,800",000,-,001,"8000,000 -",Compuertas. -,,GUADALQUIVIR,CANTILLANA,GUADALQUIVIR
,CAÑAS,,Explotación,COMUNIDAD AUTONOMA DE NAVARRA,,A,01-01-2000,--,0548873,4703736,Riego                                             -  -,-  -,,"3,800","0,000","0,000","30,090",,Materiales sueltos homogenea,"5,000","600,000","381,000","376,000","376,000","39,000",000,-,000,-,-,,,VIANA,EBRO
,CAÑAVERAL,,Explotación,AYUNTAMIENTO DE CAÑAVERAL,C-CARBAJO,,31-12-1981,--,0211776,4411107,Abastecimiento                                    -  -,-  -,,"2,160","0,000","0,000","0,000",,Gravedad,"16,000","167,400","100,500","84,500","0,000","7,340",000,-,001,"0,000 -","No, Labio fijo -",,PIZARROSO,CAÑAVERAL,TAJO
,CARANTOÑA,,Explotación,CARBUROS METALICOS,,,01-01-1962,--,0008481,4794027,Hidroeléctrico                                    -  -,-  -,,"228,000","0,000","0,000","0,000",,Gravedad,"10,000","60,000","101,350","91,130","92,380","0,000",000,-,001,"0,000 -","No, Labio fijo -",,GRANDE,VIMIANZO,GALICIA COSTA
,"CARBAJALES, LOS",,Explotación,D. FERMIN AGUILERA JIMENEZ Y DÑA. ESPERANZA ZARAPUZ SANCHEZ,,C,01-01-1978,--,0353850,4423950,Riego                                             -  -,-  -,,"0,000","0,000","0,000","10,800",,Materiales sueltos homogenea,"11,800","100,000","399,000","387,200","387,200","0,000",001,"0,600 -",001,"10,800 -",Compuertas. -,,ARROYO DEL CHORRO,LA PUEBLANUEVA,TAJO
,CARCABO,RAMBLA DEL CARCABO,Explotación,ESTADO,J. MUÑOZ BRAVO - CYGSA,A,30-06-1993,--,0629095,4231715,Defensa frente a avenidas                         -  -,-  -,,"35,700","2,210","313,000","266,000",,Gravedad,"45,500","118,000","260,000","214,500","219,500","50,000",001,"41,400 -",001,"65,000 -","No, Labio fijo -",,CARCABO,CIEZA,SEGURA
,CARDENA,,Explotación,ENDESA GENERACION S.A.,H. MONCABRIL,A,31-12-1954,--,0186089,4671364,Hidroeléctrico                                    -  -,-  -,,"12,300","0,000","1532,000","150,000",,Gravedad y Materiales sueltos pantalla,"16,500","40,000","1566,500","1550,000","1556,000","7,670",001,"0,000 -",002,"47,000 - 78,000","No, Labio fijo - No, Labio fijo",,LAGUNA DE CARDENA,PORTO Y GALENDE,DUERO
,CARDENA (DIQUE DEL COLLADO 1),,Explotación,ENDESA GENERACION S.A.,H. MONCABRIL,,31-12-1954,--,0186140,4671136,Hidroeléctrico                                    -  -,-  -,,"12,300","0,000","1532,000","150,000",,Gravedad,"6,500","58,600","1566,500","1560,000","1563,000","1,200",000,-,001,"47,000 -","No, Labio fijo -",,CARDENA,PORTO Y GALENDE,DUERO
,CARDENA (DIQUE DEL COLLADO 2),,Explotación,ENDESA GENERACION S.A.,H. MONCABRIL,,31-12-1954,--,0186140,4671136,Hidroeléctrico                                    -  -,-  -,,"12,300","0,000","1532,000","150,000",,Gravedad,"8,000","31,300","1566,500","1558,500","1560,000","1,200",000,-,001,"78,000 -","No, Labio fijo -",,CARDENA,GALENDE,DUERO
,CARDEÑA,,Explotación,DIPUTACION,A-RUBIO,,01-01-1980,--,0388310,4236240,Abastecimiento                                    -  -,-  -,,"16,000","0,000","0,000","85,000",,Gravedad,"12,000","161,500","701,500","689,500","693,000","4,810",000,-,001,"85,000 -","No, Labio fijo -",,ROBLEDILLO,CARDEÑA,GUADALQUIVIR
,CARDET (LLESP),LLESP,Explotación,ENHER,"G. MILLET, F. COSTA",A,01-05-1953,--,0810863,4711958,Hidroeléctrico                                    -  -,-  -,,"208,070","47,850","920,000","420,000",,Gravedad,"15,000","32,000","1083,000","1068,000","1072,000","2,190",000,-,001,"420,000 -",Compuertas. -,,NOGUERA DE TOR,DURRO Y BARRUERA,EBRO
,"CARPIO, EL",,Explotación,"ENDESA GENERACIÓN, S.A.- U.P.H. SUR",C-MENDOZA,B,01-01-1922,--,0369050,4204250,Hidroeléctrico                                    -  - Riego,-  -,,"23358,100","0,000","0,000","3200,000",,Gravedad,"20,750","252,500","140,000","119,250","121,400","22,500",001,"0,400 -",001,"3,200 -",Compuertas. -,,GUADALQUIVIR,"CARPIO, EL",GUADALQUIVIR
,"CARRASCAL, EL",EL CARRASCAL DE LA VEGA,Explotación,COMPAÑÍA INTERNACIONAL DE BIENES RAICES S.A.,A-RAMIREZ,A,31-12-1971,--,0395365,4515925,Abastecimiento                                    -  -,-  -,,"5,500","1,000","463,000","10,000",,Materiales sueltos núcleo arcilla,"23,000","111,000","1030,000","1007,000","1013,000","0,000",001,"0,500 -",001,"10,000 -","No, Labio fijo -",,CARRASCAL (ARROYO CARRASCAL),VEGAS DE MATUTE,DUERO
,CARRASCALEJO,RECUERDA,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",PEDRO MARIN BERMEJO,A,01-01-1980,--,0312185,4391091,Riego                                             -  -,-  -,,"9,875","1,090","528,000","14,000",,Materiales sueltos núcleo arcilla,"18,230","234,000","584,730","566,500","570,800","46,000",001,"0,440 -",001,"14,180 -","No, Labio fijo -",,ARROYO RECUERDA,CARRASCALEJO,TAJO
,CARRIZAL (ARROYO),,Explotación,PABLO PAZCA DEL REAL,C-GORDO,,01-01-1976,--,0372745,4367515,Riego                                             -  -,-  -,,"22,400","2,000","0,000","62,000",,Gravedad,"15,000","76,000","806,000","791,000","792,400","14,000",000,-,001,"42,000 -","No, Labio fijo -",,CARRIZAL,RETUERTA DE BULLAQUE,GUADIANA
,CASAR DE CACERES,,Explotación,ESTADO,M. ALPAÑES RAMOS,A,31-12-1991,--,0203683,4388403,Abastecimiento                                    -  -,-  -,,"22,000","5,300","606,000","51,600",,Gravedad,"18,340","524,000","378,000","359,660","362,660","23,138",001,"2,430 -",001,"51,600 -","No, Labio fijo -",,VILLALUENGO,CASAR DE CACERES,TAJO
,CASARES,,Explotación,UNION FENOSA GENERACION S.A.,M. SANCHEZ Y J. MAGAÑA,A,31-12-1984,--,0275073,4756535,Abastecimiento                                    -  - Industrial,-  -,,"28,000","0,000","0,000","232,000",,Gravedad,"32,000","96,000","1283,150","1251,150","1258,160","15,980",001,"25,000 -",001,"120,000 -","No, Labio fijo -",,CASARES,VILLAMANÍN,DUERO
,CASARES DE ARBAS,,Construcción,ESTADO,ENRIQUE GIMENEZ SANCHEZ / PROSER,A,--,--,0275000,4756620,Hidroeléctrico                                    -  -,-  -,,"23,100","27,000","1546,000","232,000",,Arco Gravedad,"45,000","143,920","1300,000","1255,000","1255,000","34,200",001,"74,800 -",001,"50,000 -","No, Labio fijo -",,CASARES,VILLAMANIN,DUERO
,CASARES DE ARBAS (DIQUE DEL COLLADO),COLLADO DE SAN ESTEBAN,Construcción,ESTADO,ENRIQUE GIMENEZ SANCHEZ / PROSER,A,--,--,0274500,4756300,Hidroeléctrico                                    -  -,-  -,,"23,100","27,000","1546,000","323,000",,Materiales sueltos homogenea,"18,000","150,000","1300,000","1282,000","1286,500","46,000",000,-,000,-,-,,CASARES,VILLAMANIN,DUERO
,CASARES DE LAS HURDES,HURDANO/ MAJA-ROBLEDO,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",,A,01-07-1997,--,0216566,4482148,Abastecimiento                                    -  -,-  -,,"3,780","2,350","1213,000","58,500",,Gravedad,"30,700","65,500","922,610","891,910","901,530","8,890",001,"10,100 -",001,"48,800 -","No, Labio fijo -",,HURDANO,CASARES DE LAS HURDES,TAJO
,CASAS BLANCAS,,Explotación,CDAD. CASAS BLANCAS,J-OROZCO,,25-04-1944,--,-738610,3175528,Riego                                             -  -,-  -,,"2,700","0,000","0,000","0,000",,Gravedad,"19,400","55,000","240,000","220,600","220,600","13,000",000,-,001,"91,066 -","No, Labio fijo -",,BARRANCO ROSALES,FIRGAS,LAS PALMAS
,CASASOLA,,Explotación,JUNTA DE ANDALUCÍA,R. LOPEZ MANZANO,A,31-12-1999,--,0366674,4073917,Abastecimiento                                    -  - Defensa frente a avenidas,-  -,,"185,000","11,600","546,000","1745,000",,Arco Gravedad,"76,000","239,730","160,000","84,000","92,000","199,000",001,"78,700 -",001,"1400,000 -","No, Labio fijo -",,CAMPANILLAS,ALMOGIA,C. MEDITERRANEA ANDALUZA
,CASAVIEJA,,Explotación,AYUNTAMIENTO DE CASAVIEJA,INPROES,A,01-10-1987,--,0350935,4463810,Abastecimiento                                    -  -,-  -,,"8,200","5,240","1277,000","20,000",,Materiales sueltos homogenea,"30,000","295,350","707,500","677,500","681,500","195,000",001,"1,960 -",001,"10,000 -","No, Labio fijo -",,GARGANTA CERECEDA,CASAVIEJA,TAJO
,CASCAJOSO,,Explotación,JUNTA DE  ANDALUCIA,L-ESTEVEZ,,01-01-1980,--,0305595,4254080,Riego                                             -  -,-  -,,"21,660","2,000","535,000","125,000",,Materiales sueltos homogenea,"13,800","420,000","570,000","556,200","559,290","76,420",000,-,001,"73,000 -","No, Labio fijo -",,CASCAJOSO,HINOJOSA DEL DUQUE,GUADIANA
,CASILLAS I,,Explotación,L. NUÑEZ SECOS,NUÑEZ ESPADA,,31-12-1870,--,0268937,4412772,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad y Contrafuertes,"10,000","182,000","0,000","0,000","0,000","5,000",000,-,001,"5,000 -","No, Labio fijo -",,CASILLAS,TRUJILLO,TAJO
,CASOYO,,Explotación,IBERDROLA GENERACION S.A.,"CASTRO, DEL CAMPO, MAROTO",,31-12-1971,--,0178048,4702880,Hidroeléctrico                                    -  -,-  -,,"150,800","55,000","0,000","540,000",,Gravedad,"21,000","55,500","362,000","341,000","344,000","6,100",001,"21,000 -",001,"336,000 -","No, Labio fijo -",,CASOYO,CARBALLEDA,NORTE
,CASPE,,Explotación,ENHER,A. TORRES Y GETE ALONSO,A,31-10-1963,--,0746929,4570580,Defensa frente a avenidas                         -  -,-  -,,"55,300","0,000","400,000","0,000",,Gravedad,"37,500","732,500","124,500","87,000","94,800","170,000",000,-,001,"0,000 -",Compuertas. -,,GUADALOPE,"CASPE, ALCAÑIZ",EBRO
,CASPE II,CASPE,Explotación,ESTADO,A-ARAOZ,A,31-12-1989,--,0752355,4558570,Abastecimiento                                    -  - Regulación,-  -,,"3705,000","256,000","400,000","2321,000",,Materiales sueltos núcleo arcilla,"50,000","397,500","234,000","184,000","184,000","1612,590",001,"83,740 -",001,"2000,560 -",Compuertas. -,,GUADALOPE,CASPE,EBRO
,CASTADON,,Explotación,AYUNTAMIENTO DE OURENSE. AQUAGEST,OLAUZOLA - P. SANTOS,A,31-12-1929,--,0102424,4699656,Abastecimiento                                    -  -,-  -,,"127,500","0,000","0,000","233,000",,Gravedad,"24,000","141,000","209,880","185,880","188,500","17,510",001,"0,000 -",001,"150,000 -","No, Labio fijo -",,LOÑA,OURENSE Y PEREIRO DE AGUILAR,NORTE
,CASTILBLANCO DE LOS ARROYOS,,Explotación,AYUNTAMIENTO DE CASTILBLANCO DE LOS ARROYOS,B. BAYAN - AYESA,C,31-12-1985,--,0231808,4174460,Abastecimiento                                    -  -,-  -,,"70,940","0,526","0,000","764,000",,Hormigón Compactado,"25,500","122,680","144,500","119,000","122,000","18,410",001,"0,000 -",001,"610,000 -","No, Labio fijo -",,RIBERA DE CALA,CASTILBLANCO DE LOS ARROYOS Y GUILLENA,GUADALQUIVIR
,CASTILSERAS,,Explotación,MINAS DE ALMADEN Y ARRAYANES S.A.,"L. MAROTO, A. ALVAREZ",A,31-12-1983,--,0343540,4289550,Hidroeléctrico                                    -  - Riego,-  -,,"564,000","55,100","650,000","329,150",,Gravedad,"18,800","286,000","408,000","389,200","391,000","66,800",001,"0,000 -",001,"320,000 -","No, Labio fijo -",,VALDEAZOGUES,ALMADEN,GUADIANA
,CASTREJON,,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,A,31-12-1967,--,0389280,4410440,Hidroeléctrico                                    -  - Riego,-  -,,"24900,000","2744,000","517,000","5100,000",,Materiales sueltos homogenea,"26,000","1336,000","427,000","401,000","408,000","743,000",000,-,001,"5100,000 -",Compuertas. -,,TAJO,"PUEBLA DE MONTALBAN, LA Y POLÁN",TAJO
,CASTREJON / CAÑARES,,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,C,31-12-1967,--,0382105,4411925,Hidroeléctrico                                    -  - Riego,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"19,000","160,000","427,000","408,000","408,000","8,000",000,-,000,-,-,,ARROYO CAÑARES,"PUEBLA DE MONTALBAN, LA",TAJO
,"CASTREJON / CARPIO, EL",,Explotación,UNION FENOSA GENERACION S.A.,EPTISA,C,31-12-1967,--,0376065,4413100,Hidroeléctrico                                    -  - Riego,-  -,,"24900,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"30,000","134,000","427,000","397,000","399,000","25,000",000,-,000,-,-,,ARROYO EL CARPIO,CARPIO DE TAJO,TAJO
,CASTRELO / JALLAS,,Explotación,FERROATLANTICA,B-TIMEO,C,01-01-1956,--,0004541,4774320,Hidroeléctrico                                    -  -,-  -,,"448,000","0,000","0,000","0,000",,Gravedad,"19,000","75,500","229,340","210,340","217,840","5,000",000,-,001,"635,000 -","No, Labio fijo -",,JALLAS,DUMBRIA,GALICIA COSTA
,CASTRELO / MIÑO,CASTRELO MIÑO,Explotación,UNION FENOSA GENERACION S.A.,L. YORDI Y A. CARREÑO,A,31-12-1969,--,0078013,4695202,Hidroeléctrico                                    -  -,-  -,,"13180,000","8610,000","0,000","8650,000",,Gravedad,"30,000","172,500","90,000","60,000","65,000","109,000",000,-,001,"9748,000 -",Compuertas. -,,MIÑO,RIBADAVIA,NORTE
,CASTRO,,Explotación,IBERDROLA GENERACION S.A.,P. MARTINEZ ARTOLA,A,31-12-1952,01-01-1974,0234088,4607766,Hidroeléctrico                                    -  -,-  -,,"63196,000","10060,000","625,000","8000,000",,Gravedad,"55,000","144,000","568,300","513,300","516,000","87,000",002,"7,000 - 180,000",002,"475,000 - 10800,000",Compuerta sect - Compuertas.,,DUERO,FONFRIA/VILLARDIEGUA DE LA RIBERA,DUERO
,CASTRO (DIQUE DEL COLLADO),,Explotación,IBERDROLA GENERACION S.A.,P. MARTINEZ ARTOLA,,31-12-1952,--,0234026,4607866,Hidroeléctrico                                    -  -,-  -,,"63196,000","10060,000","625,000","8000,000",,Gravedad,"46,000","124,000","568,000","522,000","530,250","80,000",000,-,000,-,-,,DUERO,FONFRÍA Y VILLARDIEGUA DE LA RIBERA,DUERO
,CASTRO DE LAS COGOTAS,MINGORRIA,Explotación,ESTADO,R. LOPEZ GONZALEZ,A,31-12-1994,--,0355540,4509700,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"860,000","159,000","650,000","1109,000",,Bóveda,"67,000","299,200","1054,500","987,500","995,500","117,300",002,"32,000 - 64,000",002,"0,000 - 851,000","Compuertas. - No, Labio fijo",,ADAJA,CARDEÑOSA/AVILA,DUERO
,"CASTRO, EL",,Explotación,ESTADO,E. CASTRO,A,31-12-1974,--,0435420,4404334,Regulación                                        -  -,-  -,,"1209,000","419,000","390,000","950,000",,Gravedad,"35,500","61,800","555,500","520,000","528,500","24,300",001,"27,950 -",001,"646,000 -",Compuertas. -,,ALGODOR,VILLAMUELAS,TAJO
,CASTROVIDO,,Construcción,ESTADO,RAMON PEREZ-CECILIA / INOCSA,A,--,--,0480050,4654650,Defensa frente a avenidas                         -  - Hidroeléctrico,-  -,,"386,000","154,000","842,000","581,000",,Gravedad,"97,000","544,630","1053,000","974,000","974,000","0,000",001,"79,000 -",001,"351,000 -",Compuertas. -,,ARLANZA,SALAS DE LOS INFANTES,DUERO
,CAVALLERS,,Explotación,ENHER,G. MILLET - F. COSTA,A,31-12-1960,--,0816602,4722112,Hidroeléctrico                                    -  -,-  -,,"26,400","130,240","1350,000","100,000",,Contrafuertes,"70,000","360,000","1783,500","1713,500","1724,000","260,000",001,"50,000 -",001,"164,300 -","No, Labio fijo -",,NOGUERA DE TORT,BARRUERA,EBRO
,CAZALEGAS,,Explotación,ESTADO,J.A. GALLEGO,A,31-12-1949,--,0354505,4430825,Abastecimiento                                    -  - Riego,-  -,,"3993,000","771,000","545,000","1834,000",,Gravedad y Materiales sueltos homogenea,"16,640","1004,000","385,140","368,500","375,140","30,000",001,"15,000 -",001,"1834,000 -",Compuertas. -,,ALBERCHE,CAZALEGAS-SAN ROMAN,TAJO
,CEA,,Explotación,IBERDROLA GENERACION S.A.,S. CASTR0,,31-12-1962,--,0151318,4693029,Hidroeléctrico                                    -  -,-  -,,"0,900","0,000","0,000","0,000",,Gravedad,"15,000","60,000","655,000","640,000","641,700","3,500",000,-,001,"53,000 -","No, Labio fijo -",,CEA,MANZANEDA,NORTE
,CECEBRE,,Explotación,AUTONOMIA GALICIA,L-YORDI,,01-01-1976,--,0069950,4805970,Abastecimiento                                    -  -,-  -,,"228,000","0,000","0,000","0,000",,Gravedad,"23,000","220,000","36,000","13,000","18,000","22,000",000,-,001,"390,000 -",Compuertas. -,,MERO,BETANZOS,GALICIA COSTA
,CECLAVIN,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",L. CANALEJO MATEO,C,31-12-1966,01-01-1993,0176202,4419190,Abastecimiento                                    -  -,-  -,,"14,100","30,500","631,000","85,000",,Gravedad,"15,450","267,540","280,250","264,800","267,540","0,000",001,"0,000 -",001,"72,000 -","No, Labio fijo -",,AYO. DE LA DEHESA,CECLAVIN,TAJO
,CEDILLO,,Explotación,IBERDROLA GENERACION S.A.,M. CASTILLO Y N. NAVALON,A,26-10-1978,--,0110018,4400520,Hidroeléctrico                                    -  -,-  -,,"59000,000","10264,960","0,000","17000,000",,Arco Gravedad,"66,000","418,000","120,000","54,000","65,000","239,000",002,"252,000 - 252,000",002,"3500,000 - 12700,000",Compuertas. - Compuertas.,,TAJO - SEVER,CEDILLO,TAJO
,CEDILLO (COMUNIDAD),,Explotación,JUNTA DE EXTREMADURA,MANUEL FLORIANO,A,31-12-1965,01-01-1993,0115160,4397354,Abastecimiento                                    -  -,-  -,,"2,300","0,320","561,000","0,000",,Gravedad,"11,150","203,310","286,600","275,450","277,450","0,000",001,"0,000 -",001,"0,000 -","No, Labio fijo -",,REGATO DEL PUEBLO,CEDILLO,TAJO
,CEGUILLA,,Construcción,JUNTA DE CASTILLA Y LEON,,A,--,--,0432400,4543600,Abastecimiento                                    -  -,-  -,,"15,700","6,360","0,000","57,000",,Gravedad,"40,000","22,850","1325,000","1285,000","0,000","0,000",002,"2,750 - 2,750",001,"72,000 -","No, Labio fijo -",,CEGUILLA,ALDEALUENGA DE PEDRAZA,DUERO
,CELEMIN,,Explotación,JUNTA DE ANDALUCÍA,SANTIAGO SERRANO,A,01-01-1972,--,0251076,4021595,Riego                                             -  -,-  -,,"95,000","0,000","0,000","598,000",,Materiales sueltos homogenea,"34,000","430,000","35,000","1,000","9,500","590,000",001,"0,000 -",001,"598,000 -","No, Labio fijo -",,CELEMIN,MEDINA-SIDONIA,C. ATLÁNTICA ANDALUZA
,CELEMIN (ALIVIADERO),,Explotación,JUNTA DE ANDALUCÍA,C. GLEZ-GAGGERO,A,01-01-1974,--,0251076,4021595,Riego                                             -  -,-  -,,"95,000","0,000","0,000","598,000",,Gravedad,"25,000","115,000","35,000","10,000","11,000","33,000",001,"0,000 -",001,"598,000 -","No, Labio fijo -",,CELEMIN,MEDINA-SIDONIA,GUADALQUIVIR
